,Normalized_LunchADP,Normalized_FreeRedcElig,Normalized_LunchTotal,clusters
7119,0.0,0.0,0.0,1
7121,0.0,0.0,0.0,1
7124,0.0,20.509193776520508,0.0,1
7125,0.0,0.0,0.0,1
7126,0.0,0.0,0.0,1
7131,0.0,39.03508771929825,0.0,1
7132,0.0,0.0,0.0,1
7138,0.0,33.794466403162055,0.0,1
7145,80.92929292929293,100.0,1375.7575757575758,0
7151,86.47549019607843,99.01960784313727,1470.0980392156862,0
7167,0.0,0.0,0.0,1
7169,77.3807531380753,99.16317991631799,1315.4811715481171,0
7176,77.28767123287672,100.0,1468.4931506849316,0
7181,81.81818181818183,98.7012987012987,1390.9090909090908,0
7182,0.0,0.0,0.0,1
7190,80.0,99.04761904761905,1360.0,0
7191,58.4655172413793,100.0,993.9655172413793,0
7194,0.0,0.0,0.0,1
7196,0.0,0.0,0.0,1
7199,0.0,0.0,0.0,1
7200,0.0,0.0,0.0,1
7201,0.0,0.0,0.0,1
7202,74.21739130434783,100.0,2226.086956521739,2
7204,0.0,0.0,0.0,1
7208,71.1344537815126,79.41176470588235,711.344537815126,0
7209,0.0,0.0,0.0,1
7210,0.0,0.0,0.0,1
7211,0.0,0.0,0.0,1
7212,0.0,0.0,0.0,1
7214,85.00000000000001,100.0,2550.0,2
7216,0.0,0.0,0.0,1
7219,0.0,0.0,0.0,1
7221,0.0,0.0,0.0,1
7224,0.0,0.0,0.0,1
7225,0.0,0.0,0.0,1
7226,0.0,0.0,0.0,1
7228,98.46153846153847,100.0,1083.076923076923,0
7230,0.0,0.0,0.0,1
7231,0.0,0.0,0.0,1
7232,0.0,0.0,0.0,1
7233,0.0,0.0,0.0,1
7234,35.731707317073166,60.48780487804878,428.7804878048781,1
7236,85.59558823529412,100.0,1455.1470588235293,0
7240,16.511363636363637,48.86363636363637,280.6818181818182,1
7274,0.0,0.0,0.0,1
7284,0.0,0.0,0.0,1
7298,0.0,0.0,0.0,1
7306,75.83636363636363,87.27272727272727,1289.090909090909,0
7311,67.01694915254237,100.0,804.2372881355933,0
7321,0.0,0.0,0.0,1
7322,75.42528735632185,70.11494252873564,980.4597701149426,0
7338,0.0,0.0,0.0,1
7343,34.3,45.0,411.66666666666663,1
